[11/12/01 00:00:46][0x78d3f450][   INFO] [faceDetYOLO_HISI#/program/factory/models/model/Yolo_0808_512_r37_3516x] RemoveSession: 15
[11/12/01 00:00:46][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/safeHelmet_Model_v0104_hign_r37_3516x] RemoveSession: 19
[11/12/01 00:00:46][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/FaceAttr_dv300_int8_ry41_4504] RemoveSession: 18
[11/12/01 00:00:46][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceRec_4110_fc256_Model_r37_3516x] RemoveSession: 17
[11/12/01 00:00:46][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceAlign5_Model_r37_3516x] RemoveSession: 16
[11/12/01 00:01:57][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 34.46 ms
[11/12/01 00:03:37][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 9.82367 ms
[11/12/01 00:05:17][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 9.836 ms
[11/12/01 00:06:57][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 33.502 ms
[11/12/01 00:08:37][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 10.1483 ms
[11/12/01 00:10:17][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 35.8477 ms
[11/12/01 00:11:57][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 10.269 ms
[11/12/01 00:13:37][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 42.7017 ms
[11/12/01 00:15:17][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 34.5893 ms
[11/12/01 00:16:57][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 37.1747 ms
[11/12/01 00:18:37][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 35.1093 ms
[11/12/01 00:20:17][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Post Elapsed: 10.4553 ms
[11/12/01 00:21:57][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 36.705 ms
[11/12/01 00:23:38][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 32.012 ms
[11/12/01 00:25:18][0x76446450][   INFO] [GlobalExec_Processor0] Task Name: faceDetYOLO_HISI_/program/factory/models/model/faceDetect_yolo_h512_w288_r37_3516x_Forward Elapsed: 35.82 ms
