Nums:77
   0,   476,  6092,  4010
  98,   518,  5599,  3687
 100,   519,  5588,  3680
 198,   566,  5130,  3375
 200,   567,  5120,  3368
 298,   621,  4687,  3076
 300,   622,  4678,  3070
 417,   698,  4195,  2746
 419,   699,  4186,  2740
 524,   783,  3763,  2450
 525,   784,  3759,  2447
 526,   785,  3754,  2444
 604,   856,  3458,  2246
 605,   857,  3454,  2243
 606,   858,  3450,  2240
 684,   940,  3164,  2047
 685,   942,  3160,  2045
 686,   943,  3156,  2043
 764,  1038,  2880,  1859
 765,  1039,  2876,  1857
 766,  1040,  2872,  1854
 844,  1151,  2609,  1679
 845,  1152,  2606,  1677
 846,  1154,  2602,  1674
 924,  1283,  2351,  1509
 925,  1285,  2348,  1507
 926,  1286,  2344,  1504
 974,  1377,  2195,  1407
 975,  1379,  2192,  1405
 976,  1381,  2188,  1402
1025,  1483,  2042,  1306
1026,  1485,  2038,  1304
1074,  1596,  1902,  1214
1075,  1598,  1899,  1212
1076,  1601,  1896,  1210
1125,  1726,  1761,  1124
1126,  1729,  1758,  1122
1175,  1868,  1629,  1039
1176,  1871,  1627,  1037
1224,  2022,  1507,   960
1225,  2025,  1505,   959
1226,  2028,  1502,   957
1274,  2196,  1389,   885
1275,  2199,  1387,   884
1276,  2203,  1384,   882
1314,  2347,  1301,   827
1315,  2351,  1298,   826
1316,  2355,  1296,   824
1349,  2491,  1223,   778
1350,  2495,  1221,   777
1351,  2499,  1218,   775
1390,  2670,  1144,   728
1391,  2675,  1142,   726
1429,  2854,  1072,   681
1430,  2859,  1070,   680
1431,  2864,  1068,   678
1470,  3060,   999,   636
1471,  3065,   997,   635
1472,  3070,   995,   633
1511,  3282,   932,   593
1512,  3288,   931,   591
1551,  3513,   871,   553
1552,  3519,   869,   552
1590,  3755,   814,   518
1591,  3762,   813,   517
1592,  3768,   811,   516
1630,  4024,   760,   484
1631,  4031,   759,   483
1632,  4037,   758,   482
1664,  4270,   717,   456
1665,  4277,   716,   455
1666,  4284,   714,   454
1695,  4519,   677,   431
1696,  4527,   676,   430
1719,  4739,   646,   411
1720,  4748,   645,   410
1721,  4758,   643,   409
