Nums:89,,,
0,651,5829,3483
1,656,5823,3479
2,656,5818,3476
53,681,5535,3288
73,691,5424,3215
104,707,5264,3110
153,733,5097,3003
204,763,4922,2890
234,781,4813,2821
255,794,4737,2773
306,827,4557,2659
313,832,4532,2643
364,869,4355,2533
415,907,4179,2424
433,920,4118,2387
471,952,3992,2309
473,953,3985,2305
524,999,3816,2202
553,1025,3719,2143
604,1076,3546,2039
633,1105,3445,1979
684,1163,3324,1906
713,1196,3253,1864
764,1261,3095,1770
792,1297,3008,1719
795,1302,2998,1713
846,1377,2877,1642
872,1415,2812,1604
881,1430,2786,1589
932,1514,2637,1502
949,1546,2588,1473
1000,1644,2428,1380
1032,1705,2337,1327
1033,1707,2335,1326
1084,1822,2193,1244
1112,1886,2117,1200
1113,1888,2115,1199
1164,2023,1978,1120
1192,2097,1912,1082
1193,2100,1909,1081
1244,2259,1783,1008
1272,2347,1712,968
1273,2350,1710,967
1315,2499,1610,910
1316,2503,1607,908
1317,2507,1605,907
1368,2725,1488,840
1419,2942,1376,776
1432,2997,1347,760
1433,3003,1345,759
1484,3274,1239,699
1512,3423,1182,666
1513,3429,1180,665
1548,3641,1111,626
1549,3648,1109,625
1550,3655,1107,624
1601,4029,1015,572
1652,4403,925,521
1667,4513,901,507
1668,4522,899,507
1719,4990,819,461
1752,5293,770,433
1753,5304,768,433
1804,5877,695,391
1855,6451,630,355
1860,6507,624,351
1861,6520,623,351
1912,7185,566,319
1913,7200,565,318
1964,7978,513,289
2012,8709,468,263
2013,8728,467,263
2064,9682,422,238
2072,9832,415,234
2073,9857,415,233
2124,11145,369,208
2137,11474,357,201
2138,11515,356,200
2189,13608,307,173
2200,14059,294,166
2201,14120,293,165
2202,14200,292,164
2213,15085,279,157
2215,15246,277,156
2232,16614,253,143
2233,16776,252,142
2246,18879,231,130
2248,19203,227,128
2254,20173,218,122
