Nums:65,,,
0,460,5873,4576
89,513,5363,4153
91,514,5351,4143
189,583,4731,3637
190,584,4725,3632
191,585,4719,3628
289,671,4167,3186
290,672,4161,3181
291,673,4155,3177
370,759,3720,2833
371,760,3715,2829
478,907,3143,2383
479,908,3137,2379
578,1089,2637,1993
579,1090,2632,1990
678,1333,2164,1632
679,1335,2160,1628
762,1609,1800,1355
763,1612,1796,1351
764,1616,1791,1348
842,1954,1487,1118
843,1958,1483,1115
844,1963,1480,1112
882,2166,1347,1012
883,2171,1344,1010
884,2177,1340,1007
922,2407,1217,914
923,2413,1214,912
924,2420,1211,909
962,2686,1091,820
963,2693,1088,817
997,2963,996,748
998,2970,993,746
1029,3246,914,686
1030,3254,912,684
1054,3489,851,639
1055,3498,848,637
1085,3821,781,586
1086,3832,779,584
1087,3844,776,583
1110,4122,724,543
1111,4134,722,542
1112,4147,720,540
1142,4565,654,491
1143,4578,652,489
1177,5158,581,436
1178,5175,579,434
1202,5695,528,396
1203,5717,526,395
1204,5742,524,393
1227,6397,473,355
1228,6425,471,354
1229,6459,469,352
1245,7070,433,325
1246,7108,431,323
1262,7944,390,293
1263,7996,388,291
1264,8061,385,289
1277,9059,349,262
1278,9136,346,259
1279,9246,343,257
1296,11685,288,216
1297,11829,284,213
1298,12052,280,210
1302,13260,269,201
