Nums:65,,,
0,460,6268,3781
89,513,5725,3414
91,514,5713,3406
189,583,5064,2981
190,584,5057,2977
191,585,5050,2972
289,671,4454,2594
290,672,4448,2591
291,673,4442,2587
370,759,3978,2301
371,760,3973,2297
478,907,3359,1927
479,908,3354,1924
578,1089,2820,1608
579,1090,2815,1605
678,1333,2312,1313
679,1335,2307,1310
762,1609,1920,1087
763,1612,1916,1085
764,1616,1911,1082
842,1954,1582,894
843,1958,1578,891
844,1963,1574,889
882,2166,1432,808
883,2171,1429,806
884,2177,1425,804
922,2407,1292,729
923,2413,1289,727
924,2420,1286,725
962,2686,1163,656
963,2693,1160,654
997,2963,1059,597
998,2970,1056,595
1029,3246,970,546
1030,3254,967,545
1054,3489,905,510
1055,3498,902,508
1085,3821,827,466
1086,3832,825,465
1087,3844,822,463
1110,4122,767,432
1111,4134,764,430
1112,4147,762,429
1142,4565,690,388
1143,4578,688,387
1177,5158,611,344
1178,5175,608,342
1202,5695,554,312
1203,5717,551,310
1204,5742,549,309
1227,6397,492,277
1228,6425,489,275
1229,6459,487,274
1245,7070,446,251
1246,7108,443,249
1262,7944,396,223
1263,7996,393,221
1264,8061,390,220
1277,9059,348,196
1278,9136,344,194
1279,9246,341,192
1296,11685,272,153
1297,11829,266,150
1298,12052,261,147
1302,13260,245,138
