Nums:98
   0,   534,  5020,  4060
  48,   565,  4738,  3834
  50,   566,  4726,  3824
  98,   599,  4456,  3609
  99,   600,  4450,  3605
 100,   601,  4444,  3600
 148,   638,  4187,  3389
 149,   639,  4182,  3385
 150,   640,  4176,  3380
 198,   680,  3931,  3181
 199,   681,  3926,  3177
 200,   682,  3921,  3172
 248,   727,  3680,  2975
 249,   728,  3675,  2971
 250,   729,  3671,  2966
 298,   779,  3438,  2780
 299,   780,  3433,  2776
 300,   781,  3428,  2772
 348,   837,  3205,  2590
 349,   838,  3201,  2586
 350,   839,  3196,  2583
 397,   900,  2989,  2412
 398,   902,  2985,  2408
 399,   903,  2980,  2404
 471,  1010,  2669,  2152
 472,  1012,  2665,  2149
 520,  1095,  2469,  1989
 521,  1097,  2465,  1986
 522,  1098,  2460,  1982
 570,  1192,  2272,  1830
 571,  1194,  2268,  1827
 572,  1196,  2264,  1823
 620,  1303,  2084,  1677
 621,  1305,  2080,  1674
 622,  1307,  2076,  1670
 670,  1429,  1904,  1530
 671,  1432,  1900,  1527
 672,  1434,  1896,  1524
 710,  1545,  1767,  1418
 711,  1547,  1764,  1415
 712,  1550,  1761,  1412
 751,  1675,  1632,  1307
 752,  1678,  1628,  1304
 805,  1872,  1461,  1170
 806,  1876,  1458,  1168
 807,  1880,  1455,  1165
 844,  2036,  1344,  1077
 845,  2041,  1341,  1075
 846,  2045,  1338,  1072
 884,  2225,  1230,   987
 885,  2230,  1227,   985
 886,  2235,  1224,   982
 924,  2438,  1126,   901
 925,  2443,  1123,   899
 926,  2448,  1120,   897
 964,  2677,  1026,   820
 965,  2683,  1023,   818
 966,  2689,  1020,   816
1002,  2932,   936,   749
1003,  2938,   934,   747
1004,  2946,   931,   746
1042,  3230,   850,   681
1043,  3237,   848,   679
1044,  3245,   846,   678
1082,  3564,   771,   617
1083,  3573,   769,   615
1084,  3581,   768,   614
1108,  3799,   724,   579
1109,  3808,   722,   578
1110,  3817,   720,   576
1146,  4180,   658,   527
1147,  4190,   656,   525
1148,  4200,   655,   524
1196,  4742,   581,   464
1197,  4753,   579,   463
1198,  4765,   578,   462
1221,  5054,   545,   436
1222,  5067,   543,   434
1223,  5080,   542,   433
1246,  5396,   511,   408
1247,  5410,   509,   407
1248,  5424,   508,   406
1275,  5839,   472,   378
1276,  5854,   471,   377
1277,  5871,   470,   376
1300,  6280,   439,   351
1301,  6298,   437,   350
1302,  6317,   436,   349
1325,  6805,   405,   324
1326,  6826,   403,   323
1327,  6850,   402,   322
1348,  7403,   372,   297
1349,  7429,   370,   296
1350,  7460,   369,   295
1368,  8100,   339,   271
1369,  8135,   337,   270
1370,  8182,   335,   269
1394,  9569,   286,   229
