Nums:98,,,
0,534,5346,3163
48,565,5003,2942
50,566,4988,2933
98,599,4703,2751
99,600,4698,2748
100,601,4693,2745
148,638,4448,2591
149,639,4443,2588
150,640,4438,2585
198,680,4197,2435
199,681,4192,2432
200,682,4187,2429
248,727,3947,2282
249,728,3942,2279
250,729,3937,2276
298,779,3699,2131
299,780,3694,2128
300,781,3689,2125
348,837,3457,1986
349,838,3452,1983
350,839,3447,1980
397,900,3230,1850
398,902,3225,1847
399,903,3221,1845
471,1010,2938,1677
472,1012,2936,1677
520,1095,2675,1524
521,1097,2671,1521
522,1098,2666,1519
570,1192,2464,1401
571,1194,2460,1399
572,1196,2456,1396
620,1303,2260,1282
621,1305,2255,1280
622,1307,2251,1278
670,1429,2064,1170
671,1432,2060,1167
672,1434,2056,1165
710,1545,1913,1083
711,1547,1910,1081
712,1550,1906,1079
751,1675,1766,999
752,1678,1763,997
805,1872,1582,894
806,1876,1579,892
807,1880,1575,890
844,2036,1454,821
845,2041,1451,819
846,2045,1447,817
884,2225,1334,753
885,2230,1331,751
886,2235,1328,749
924,2438,1220,688
925,2443,1217,686
926,2448,1214,685
964,2677,1112,627
965,2683,1109,625
966,2689,1107,624
1002,2932,1016,573
1003,2938,1014,571
1004,2946,1012,570
1042,3230,923,520
1043,3237,921,519
1044,3245,919,518
1082,3564,839,472
1083,3573,837,471
1084,3581,835,470
1108,3799,786,443
1109,3808,785,442
1110,3817,783,441
1146,4180,716,403
1147,4190,714,402
1148,4200,713,401
1196,4742,636,358
1197,4753,634,357
1198,4765,632,356
1221,5054,592,333
1222,5067,591,332
1223,5080,589,331
1246,5396,555,312
1247,5410,554,312
1248,5424,552,311
1275,5839,514,289
1276,5854,513,288
1277,5871,511,288
1300,6280,479,269
1301,6298,477,269
1302,6317,476,268
1325,6805,442,249
1326,6826,440,248
1327,6850,439,247
1348,7403,407,229
1349,7429,405,228
1350,7460,403,227
1368,8100,372,209
1369,8135,370,208
1370,8182,368,207
1394,9569,321,181
