Nums:98,,,
0,534,5512,3272
48,565,5134,3027
50,566,5118,3016
98,599,4814,2821
99,600,4809,2818
100,601,4803,2815
148,638,4547,2653
149,639,4541,2649
150,640,4536,2646
198,680,4282,2487
199,681,4277,2484
200,682,4272,2481
248,727,4028,2332
249,728,4023,2328
250,729,4018,2325
298,779,3763,2170
299,780,3757,2166
300,781,3751,2163
348,837,3502,2013
349,838,3497,2010
350,839,3492,2007
397,900,3267,1872
398,902,3262,1869
399,903,3257,1867
471,1010,2925,1670
472,1012,2920,1667
520,1095,2706,1542
521,1097,2701,1539
522,1098,2697,1536
570,1192,2494,1418
571,1194,2489,1415
572,1196,2485,1413
620,1303,2284,1297
621,1305,2280,1294
622,1307,2276,1292
670,1429,2088,1184
671,1432,2084,1181
672,1434,2080,1179
710,1545,1939,1098
711,1547,1936,1096
712,1550,1932,1094
751,1675,1791,1013
752,1678,1787,1011
805,1872,1603,906
806,1876,1600,904
807,1880,1597,902
844,2036,1476,833
845,2041,1473,832
846,2045,1470,830
884,2225,1351,763
885,2230,1348,761
886,2235,1345,759
924,2438,1236,697
925,2443,1233,695
926,2448,1230,694
964,2677,1129,636
965,2683,1126,635
966,2689,1124,633
1002,2932,1031,581
1003,2938,1029,580
1004,2946,1026,578
1042,3230,937,528
1043,3237,935,526
1044,3245,932,525
1082,3564,851,479
1083,3573,849,478
1084,3581,846,477
1108,3799,797,449
1109,3808,795,448
1110,3817,793,447
1146,4180,725,408
1147,4190,723,407
1148,4200,721,406
1196,4742,641,361
1197,4753,639,360
1198,4765,638,359
1221,5054,601,338
1222,5067,599,337
1223,5080,598,336
1246,5396,564,317
1247,5410,563,317
1248,5424,561,316
1275,5839,522,294
1276,5854,520,293
1277,5871,519,292
1300,6280,486,273
1301,6298,484,273
1302,6317,483,272
1325,6805,449,253
1326,6826,448,252
1327,6850,446,251
1348,7403,414,233
1349,7429,413,232
1350,7460,411,231
1368,8100,380,214
1369,8135,379,213
1370,8182,377,212
1394,9569,329,185
