12-01 00:03:31 558[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:03:39 599[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:03:39 599[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:03:47 637[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:03:47 637[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:03:55 682[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:03:55 682[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:03 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:03 717[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:11 757[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:11 758[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:19 797[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:19 797[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:27 847[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:27 848[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:35 887[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:04:35 887[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:04:43 928[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
